provider_id,name,geography_level,province,dguid,population_2021,portal_url,portal_license_name,portal_license_url,contact,notes
ab_alberta,Government of Alberta,province,AB,2021A000248,4262635,https://open.alberta.ca/opendata,,,,
bc_british_columbia,Government of British Columbia,province,BC,2021A000259,5000879,https://catalogue.data.gov.bc.ca,,,,
mb_manitoba,Government of Manitoba,province,MB,2021A000246,1342153,https://geoportal.gov.mb.ca/,,,,
nl_newfoundland_and_labrador,Government of Newfoundland and Labrador,province,NL,2021A000210,510550,https://opendata.gov.nl.ca/,,,,
ns_nova_scotia,Government of Nova Scotia,province,NS,2021A000212,969383,https://data.novascotia.ca/,,,,
nt_the_northwest_territories,Government of the Northwest Territories,province,NT,2021A000261,41070,https://opendata.gov.nt.ca/,,,,
nu_nunavut,Government of Nunavut,province,NU,2021A000262,36858,https://gov.nu.ca/en,,,,
nu_polar_data_catalogue,Polar Data Catalogue,province,NU,2021A000262,36858,https://polardata.ca/,,,,
on_geospatial_ontario,Geospatial Ontario,province,ON,2021A000235,14223942,https://geohub.lio.gov.on.ca/,,,,
on_ontario,Government of Ontario,province,ON,2021A000235,14223942,https://data.ontario.ca/,,,,
pe_prince_edward_island,Government of Prince Edward Island,province,PE,2021A000211,154331,https://data.princeedwardisland.ca/,,,,
qc_quebec,Government of Québec,province,QC,2021A000224,8501833,https://www.donneesquebec.ca/,,,,
sk_saskatchewan,Government of Saskatchewan,province,SK,2021A000247,1132505,https://geohub.saskatchewan.ca/,,,,
yt_yukon,Government of Yukon,province,YT,2021A00036001,40232,https://open.yukon.ca/data,,,,
ab_calgary_metropolitan_region,Calgary Metropolitan Region,region,AB,,,https://calgarymetroregion-cmrb.opendata.arcgis.com/,,,,
ab_grande_prairie,County of Grande Prairie,region,AB,,,https://opendata.countygp.ab.ca/,,,,
bc_capital_regional_district,Capital Regional District,region,BC,,,https://www.crd.bc.ca/about/data/geospatial-data,,,,
bc_cariboo_regional_district,Cariboo Regional District,region,BC,,,https://crd-true-consulting.hub.arcgis.com/,,,,
bc_columbia_shuswap_regional_district,Columbia Shuswap Regional District,region,BC,,,https://data-csrd.opendata.arcgis.com/,,,,
bc_cowichan_valley_regional_district,Cowichan Valley Regional District,region,BC,,,https://cvrd.ca/3239/GIS-Downloads,,,,
bc_regional_district_okanagan_similkameen,Regional District Okanagan-Similkameen,region,BC,,,https://hub-rdos.opendata.arcgis.com/,,,,
bc_central_okanagan,Regional District of Central Okanagan,region,BC,,,https://gis-rdco.hub.arcgis.com/pages/open-data,,,,
bc_east_kootenay,Regional District of East Kootenay,region,BC,,,https://data3-ca5c0-rdek.opendata.arcgis.com/,,,,
bc_fraser_fort_george,Regional District of Fraser-Fort George,region,BC,,,https://www.rdffg.ca/node/383,,,,
bc_nanaimo_2,Regional District of Nanaimo,region,BC,,,https://www.rdn.bc.ca/spatial-data-files,,,,
bc_north_okanagan,Regional District of North Okanagan,region,BC,,,https://regional-district-of-north-okanagan-gis-open-data-site-rdnogis.hub.arcgis.com/,,,,
bc_strathcona_regional_district,Strathcona Regional District,region,BC,,,https://data-strathconard.opendata.arcgis.com/,,,,
bc_sunshine_coast_regional_district,Sunshine Coast Regional District,region,BC,,,https://data-myscrd.opendata.arcgis.com/,,,,
bc_thompson_nicola_regional_district,Thompson-Nicola Regional District,region,BC,,,https://my-tnrd.hub.arcgis.com/pages/opendata,,,,
ns_the_county_of_cumberland,Municipality of the County of Cumberland,region,NS,,,https://data-cumberlandns.opendata.arcgis.com/,,,,
ns_the_county_of_pictou,Municipality of the County of Pictou,region,NS,,,https://mopc-pictoucounty.hub.arcgis.com/,,,,
on_bruce,County of Bruce,region,ON,,,https://bruce-county-open-spatial-data-brucecounty.hub.arcgis.com/,,,,
on_elgin,County of Elgin,region,ON,,,https://elgin-county-open-data-elgin-county.hub.arcgis.com/,,,,
on_frontenac,County of Frontenac,region,ON,,,https://county-frontenac.hub.arcgis.com/,,,,
on_haliburton,County of Haliburton,region,ON,,,https://gis-haliburtoncounty-ca-halcty.hub.arcgis.com/,,,,
on_hastings,County of Hastings,region,ON,,,https://county-hastings-gis.opendata.arcgis.com/,,,,
