provider_id,name,geography_level,province,dguid,population,population_year,portal_url,portal_license_name,portal_license_url,contact,notes
,Government of Newfoundland and Labrador,province,NL,,,,https://opendata.gov.nl.ca/,,,,
,Town of Happy Valley-Goose Bay,,NL,,,,https://portal-townhvgb.opendata.arcgis.com/,,,,
,Community Infrastructure Mapping System,,NL,,,,https://nlcims.ca/OpenData/,,,,
,Government of Prince Edward Island,province,PE,,,,https://data.princeedwardisland.ca/,,,,
,Town of Stratford,,PE,,,,https://www.townofstratford.ca/government/open_government/open_data_catalogue,,,,
,Government of Nova Scotia,province,NS,,,,https://data.novascotia.ca/,,,,
,Halifax Regional Municipality,,NS,,,,https://data-hrm.hub.arcgis.com/,,,,
,Cape Breton Regional Muncipality,,NS,,,,https://www.cbrm.ns.ca/open-data.html,,,,
,Town of Truro,,NS,,,,https://www.truro.ca/mapping-and-gis.html,,,,
,Municipality of East Hants,,NS,,,,https://www.easthants.ca/maps-and-data/,,,,
,Municipality of the County of Pictou,,NS,,,,https://mopc-pictoucounty.hub.arcgis.com/,,,,
,Municipality of the County of Cumberland,,NS,,,,https://data-cumberlandns.opendata.arcgis.com/,,,,
,Government of New Brunswick,,NB,,,,https://gnb.socrata.com/,,,,
,City of Fredericton,,NB,,,,https://data-fredericton.opendata.arcgis.com/,,,,
,City of Moncton,,NB,,,,https://open.moncton.ca/,,,,
,City of Saint John,,NB,,,,https://catalogue-saintjohn.opendata.arcgis.com/,,,,
,Ville d'Edmundston,,NB,,,,https://data-edmundston.opendata.arcgis.com/,,,,
,Government of Québec,province,QC,,,,https://www.donneesquebec.ca/,,,,
,MRC Bécancour,,QC,,,,https://www.donneesquebec.ca/organisation/mrc-becancour,,,,
,MRC de Nicolet-Yamaska,,QC,,,,https://www.donneesquebec.ca/organisation/mrc-de-nicolet-yamaska,,,,
,Ville de Blainville,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-blainville,,,,
,Ville de Drummondville,,QC,,,,https://donnees-vdrummondville.opendata.arcgis.com/search,,,,
,Ville de Gatineau,,QC,,,,https://www.gatineau.ca/portail/default.aspx?c=en-CA&p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes,,,,
,Ville de Laval,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-laval,,,,
,Ville de Lévis,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-levis,,,,
,Ville de Longueuil,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-longueuil,,,,
,Ville de Montréal,,QC,,,,https://donnees.montreal.ca/,,,,
,Ville de Québec,,QC,,,,https://www.donneesquebec.ca/organisation/ville-de-quebec/,,,,
,Ville de Repentigny,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-repentigny,,,,
,Ville de Rimouski,,QC,,,,https://www.donneesquebec.ca/organisation/ville-de-rimouski,,,,
,Ville de Rouyn-Noranda,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-rouyn-noranda,,,,
,Ville de Saguenay,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-saguenay,,,,
,Ville de Saint Hyacinthe,,QC,,,,https://www.donneesquebec.ca/recherche/dataset?q=&extras_organisation_principale=ville-de-saint-hyacinthe,,,,
,Ville de Saint-Jean-sur-Richelieu,,QC,,,,https://www.donneesquebec.ca/organisation/ville-de-saint-jean-sur-richelieu/,,,,
,Ville de Shawinigan,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-shawinigan,,,,
,Ville de Sherbrooke,,QC,,,,https://donneesouvertes-sherbrooke.opendata.arcgis.com/,,,,
,Ville de Trois-Rivières,,QC,,,,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-trois-rivieres,,,,
,Ville de Victoriaville,,QC,,,,https://partage-victoriaville.opendata.arcgis.com,,,,
,Geospatial Ontario,province,ON,,,,https://geohub.lio.gov.on.ca/,,,,
,Government of Ontario,province,ON,,,,https://data.ontario.ca/,,,,
,Town of Ajax,,ON,,,,https://opendata.ajax.ca/,,,,
,Town of Aurora,,ON,,,,https://town-of-aurora-data-hub-aurora.hub.arcgis.com/,,,,
,City of Barrie,,ON,,,,https://opendata.barrie.ca/,,,,
,City of Barrie,,ON,,,,https://public-barrie.opendata.arcgis.com/,,,,
,City of Belleville,,ON,,,,https://opendata-bellevillegis.hub.arcgis.com/,,,,
,City of Brampton,,ON,,,,https://geohub.brampton.ca/pages/data,,,,
,County of Brant,,ON,,,,https://catalogue-brant.hub.arcgis.com/,,,,
,City of Brantford,,ON,,,,https://data-brantford.opendata.arcgis.com/,,,,
,County of Bruce,,ON,,,,https://bruce-county-open-spatial-data-brucecounty.hub.arcgis.com/,,,,
,City of Burlington,,ON,,,,https://navburl-burlington.opendata.arcgis.com/,,,,
,Town of Caledon,,ON,,,,https://data-caledon.opendata.arcgis.com/,,,,
,City of Cambridge,,ON,,,,https://geohub.cambridge.ca/,,,,
,Municipality of Chatham-Kent,,ON,,,,https://opendata-chatham-kent.opendata.arcgis.com/,,,,
,Town of Cobourg,,ON,,,,https://public-townofcobourg.hub.arcgis.com/,,,,
,City of Cornwall,,ON,,,,https://data-cornwallcity.opendata.arcgis.com/search,,,,
,Dufferin County,,ON,,,,https://data-dufferincounty.opendata.arcgis.com/,,,,
,Regional Municipality of Durham,,ON,,,,https://opendata.durham.ca/,,,,
,West Parry Sound Geography Network,,ON,,,,https://data-wpsgn.opendata.arcgis.com/,,,,
,County of Elgin,,ON,,,,https://elgin-county-open-data-elgin-county.hub.arcgis.com/,,,,
,County of Essex,,ON,,,,https://opendata.countyofessex.ca/,,,,
,County of Frontenac,,ON,,,,https://county-frontenac.hub.arcgis.com/,,,,
,City of Greater Sudbury,,ON,,,,https://opendata.greatersudbury.ca/,,,,
,Grey County,,ON,,,,https://maps.grey.ca/,,,,
,City of Guelph,,ON,,,,http://data.open.guelph.ca/,,,,
,City of Hamilton,,ON,,,,https://open.hamilton.ca/,,,,
,Haldimand County,,ON,,,,https://opendata-haldimand.hub.arcgis.com/,,,,
,County of Haliburton,,ON,,,,https://gis-haliburtoncounty-ca-halcty.hub.arcgis.com/,,,,
,County of Hastings,,ON,,,,https://county-hastings-gis.opendata.arcgis.com/,,,,
,Town of Huntsville,,ON,,,,https://huntsville-muskoka.opendata.arcgis.com/,,,,
,Huron County,,ON,,,,https://data-huron.opendata.arcgis.com/,,,,
,City of Kawartha Lakes,,ON,,,,https://open-data-kawartha.hub.arcgis.com/,,,,
,City of Kingston,,ON,,,,https://opendatakingston.cityofkingston.ca/,,,,
,City of Kitchener,,ON,,,,https://open-kitchenergis.opendata.arcgis.com/,,,,
,Lake Simco​e Region Conservation Authority,,ON,,,,https://lsrca-open-data-camaps.opendata.arcgis.com/,,,,
,County of Lambton,,ON,,,,https://county-lambton.opendata.arcgis.com/,,,,
,United Counties of Leeds and Grenville,,ON,,,,https://geohub-uclg.hub.arcgis.com/,,,,
,County of Lennox & Addington,,ON,,,,https://open-data-hub-lennoxaddington.hub.arcgis.com/,,,,
,City of London,,ON,,,,https://opendata.london.ca/,,,,
,City of Markham,,ON,,,,http://data-markham.opendata.arcgis.com/,,,,
,Municipality of McDougall,,ON,,,,https://mcdougall-hub-wpsgn.hub.arcgis.com/,,,,
,County of Middlesex,,ON,,,,https://data-middlesex.opendata.arcgis.com/,,,,
,Town of Milton,,ON,,,,https://discover-milton.hub.arcgis.com/,,,,
,City of Mississauga,,ON,,,,https://data.mississauga.ca/,,,,
,District Municipality of Muskoka,,ON,,,,https://map.muskoka.on.ca/,,,,
,Town of Newmarket,,ON,,,,https://navigate-newmarket.hub.arcgis.com/pages/open-data,,,,
,Regional Municipality of Niagara,,ON,,,,https://niagaraopendata.ca/,,,,
,City of Niagara Falls,,ON,,,,https://open.niagarafalls.ca/,,,,
