CSDNAME,CSDTYPE,province,population,DGUID
Vaughan,CY,ON,323103.0,2021A00053519028
Richmond,CY,BC,209937.0,2021A00055915015
Richmond Hill,T,ON,202022.0,2021A00053519038
St. Catharines,CY,ON,136803.0,2021A00053526053
Terrebonne,V,QC,119944.0,2021A00052464008
St. John's,CY,NL,110525.0,2021A00051001519
Clarington,MU,ON,101427.0,2021A00053518017
Brossard,V,QC,91525.0,2021A00052458007
Saint-Jérôme,V,QC,80213.0,2021A00052475017
Wood Buffalo,SM,AB,72326.0,2021A00054816037
Granby,V,QC,69025.0,2021A00052447017
Halton Hills,T,ON,62951.0,2021A00053524015
Mirabel,V,QC,61108.0,2021A00052474005
Mascouche,V,QC,51183.0,2021A00052464015
Châteauguay,V,QC,50815.0,2021A00052467050
Whitchurch-Stouffville,T,ON,49864.0,2021A00053519044
Dollard-Des Ormeaux,V,QC,48403.0,2021A00052466142
Georgina,T,ON,47642.0,2021A00053519070
Woodstock,CY,ON,46705.0,2021A00053532042
Langford,CY,BC,46584.0,2021A00055917044
Saint-Eustache,V,QC,45276.0,2021A00052472005
New Tecumseth,T,ON,43948.0,2021A00053543007
Innisfil,T,ON,43326.0,2021A00053543017
Vaudreuil-Dorion,V,QC,43268.0,2021A00052471083
Bradford West Gwillimbury,T,ON,42880.0,2021A00053543014
St. Thomas,CY,ON,42840.0,2021A00053534021
Salaberry-de-Valleyfield,V,QC,42787.0,2021A00052470052
Boucherville,V,QC,41743.0,2021A00052458033
Mission,DM,BC,41519.0,2021A00055909056
Timmins,CY,ON,41145.0,2021A00053556027
Rocky View County,MD,AB,41028.0,2021A00054806014
Lakeshore,T,ON,40410.0,2021A00053537064
Charlottetown,CY,PE,38809.0,2021A00051102075
Prince Albert,CY,SK,37756.0,2021A00054715066
Spruce Grove,CY,AB,37645.0,2021A00054811049
Sorel-Tracy,V,QC,35165.0,2021A00052453052
East Gwillimbury,T,ON,34637.0,2021A00053519054
Côte-Saint-Luc,V,QC,34504.0,2021A00052466058
Leduc,CY,AB,34094.0,2021A00054811016
Moose Jaw,CY,SK,33665.0,2021A00054707039
Pointe-Claire,V,QC,33488.0,2021A00052466097
Orillia,CY,ON,33411.0,2021A00053543052
Stratford,CY,ON,33232.0,2021A00053531011
Saint-Georges,V,QC,32935.0,2021A00052429073
Fort Erie,T,ON,32901.0,2021A00053526003
Val-d'Or,V,QC,32752.0,2021A00052489008
LaSalle,T,ON,32721.0,2021A00053537034
Chambly,V,QC,31444.0,2021A00052457005
Centre Wellington,TP,ON,31093.0,2021A00053523025
Alma,V,QC,30331.0,2021A00052493042
Sainte-Julie,V,QC,30045.0,2021A00052459010
Saint-Constant,V,QC,29954.0,2021A00052467035
Leamington,MU,ON,29680.0,2021A00053537003
Grimsby,T,ON,28883.0,2021A00053526065
Magog,V,QC,28312.0,2021A00052445072
Boisbriand,V,QC,28308.0,2021A00052473005
Dieppe,C,NB,28114.0,2021A00051307045
Conception Bay South,T,NL,27168.0,2021A00051001485
Fort Saskatchewan,CY,AB,27088.0,2021A00054811056
Sainte-Thérèse,V,QC,26533.0,2021A00052473010
Clarence-Rockland,C,ON,26505.0,2021A00053502036
La Prairie,V,QC,26406.0,2021A00052467015
Saint-Bruno-de-Montarville,V,QC,26273.0,2021A00052458037
Thetford Mines,V,QC,26072.0,2021A00052431084
Lincoln,T,ON,25719.0,2021A00053526057
Prince Edward County,CY,ON,25704.0,2021A00053513020
Lunenburg,MD,NS,25545.0,2021A00051206001
Wasaga Beach,T,ON,24862.0,2021A00053543064
Collingwood,T,ON,24811.0,2021A00053543031
Sept-Îles,V,QC,24569.0,2021A00052497007
Beloeil,V,QC,24104.0,2021A00052457040
Saint-Lin--Laurentides,V,QC,24030.0,2021A00052463048
Strathroy-Caradoc,MU,ON,23871.0,2021A00053539015
Thorold,CY,ON,23816.0,2021A00053526037
Grande Prairie County No. 1,MD,AB,23769.0,2021A00054819006
Amherstburg,T,ON,23524.0,2021A00053537028
L'Assomption,V,QC,23442.0,2021A00052460028
Foothills County,MD,AB,23199.0,2021A00054806001
Oro-Medonte,TP,ON,23017.0,2021A00053543023
Candiac,V,QC,22997.0,2021A00052467020
Essa,TP,ON,22970.0,2021A00053543021
Paradise,T,NL,22957.0,2021A00051001517
Saint-Lambert,V,QC,22761.0,2021A00052458012
Mount Pearl,CY,NL,22477.0,2021A00051001542
"Kings, Subd. A",SC,NS,22355.0,2021A00051207001
Saint-Lazare,V,QC,22354.0,2021A00052471105
Kingsville,T,ON,22119.0,2021A00053537013
Brockville,CY,ON,22116.0,2021A00053507015
Springwater,TP,ON,21701.0,2021A00053543009
Owen Sound,CY,ON,21612.0,2021A00053542059
Scugog,TP,ON,21581.0,2021A00053518020
Uxbridge,TP,ON,21556.0,2021A00053518029
Fort St. John,CY,BC,21465.0,2021A00055955034
Wilmot,TP,ON,21429.0,2021A00053530020
Joliette,V,QC,21384.0,2021A00052461025
Varennes,V,QC,21198.0,2021A00052459020
Mont-Royal,V,QC,20953.0,2021A00052466072
Beaumont,CY,AB,20888.0,2021A00054811013
Baie-Comeau,V,QC,20687.0,2021A00052496020
Riverview,TV,NB,20584.0,2021A00051306020
South Frontenac,TP,ON,20188.0,2021A00053510020
Rivière-du-Loup,V,QC,20118.0,2021A00052412072
Port Colborne,CY,ON,20033.0,2021A00053526011
Red Deer County,MD,AB,19933.0,2021A00054808001
Saint-Augustin-de-Desmaures,V,QC,19907.0,2021A00052423072
"Colchester, Subd. B",SC,NS,19806.0,2021A00051210008
Sainte-Marthe-sur-le-Lac,V,QC,19797.0,2021A00052472015
Lloydminster (Part),CY,AB,19739.0,2021A00054810039
Westmount,V,QC,19658.0,2021A00052466032
Russell,TP,ON,19598.0,2021A00053502048
West Hants,RM,NS,19509.0,2021A00051208003
Salmon Arm,CY,BC,19432.0,2021A00055939032
Kirkland,V,QC,19413.0,2021A00052466102
Corner Brook,CY,NL,19333.0,2021A00051005018
Dorval,V,QC,19302.0,2021A00052466087
Beaconsfield,V,QC,19277.0,2021A00052466107
Pitt Meadows,CY,BC,19146.0,2021A00055915070
Niagara-on-the-Lake,T,ON,19088.0,2021A00053526047
Colwood,CY,BC,18961.0,2021A00055917041
Middlesex Centre,MU,ON,18928.0,2021A00053539033
Mont-Saint-Hilaire,V,QC,18859.0,2021A00052457035
Camrose,CY,AB,18772.0,2021A00054810011
Quispamsis,TV,NB,18768.0,2021A00051305057
Selwyn,TP,ON,18653.0,2021A00053515015
Tillsonburg,T,ON,18615.0,2021A00053532004
Metro Vancouver A,RDA,BC,18612.0,2021A00055915020
Port Alberni,CY,BC,18259.0,2021A00055923008
Pelham,T,ON,18192.0,2021A00053526028
Petawawa,T,ON,18160.0,2021A00053547076
Sainte-Sophie,MÉ,QC,18080.0,2021A00052475028
Stony Plain,T,AB,17993.0,2021A00054811048
Oak Bay,DM,BC,17990.0,2021A00055917030
North Grenville,MU,ON,17964.0,2021A00053507065
Loyalist,TP,ON,17943.0,2021A00053511005
Deux-Montagnes,V,QC,17915.0,2021A00052472010
Midland,T,ON,17817.0,2021A00053543074
Steinbach,CY,MB,17806.0,2021A00054602044
Saint-Colomban,V,QC,17740.0,2021A00052475005
Miramichi,C,NB,17692.0,2021A00051309050
Central Saanich,DM,BC,17385.0,2021A00055917015
Sainte-Catherine,V,QC,17347.0,2021A00052467030
Bracebridge,T,ON,17305.0,2021A00053544018
Port Hope,MU,ON,17294.0,2021A00053514020
Hanover,RM,MB,17216.0,2021A00054602041
Saint-Basile-le-Grand,V,QC,17053.0,2021A00052457020
L'Ancienne-Lorette,V,QC,16970.0,2021A00052423057
Greater Napanee,T,ON,16879.0,2021A00053511015
Swift Current,CY,SK,16750.0,2021A00054708004
Yorkton,CY,SK,16280.0,2021A00054709012
Springfield,RM,MB,16142.0,2021A00054612047
Tracadie,MRM,NB,16043.0,2021A00051315002
Summerside,CY,PE,16001.0,2021A00051103025
Sylvan Lake,T,AB,15995.0,2021A00054808012
Saugeen Shores,T,ON,15908.0,2021A00053541045
Cold Lake,CY,AB,15661.0,2021A00054812002
North Perth,MU,ON,15538.0,2021A00053531040
West Lincoln,TP,ON,15454.0,2021A00053526021
Saint-Charles-Borromée,V,QC,15285.0,2021A00052461035
Cowansville,V,QC,15234.0,2021A00052446080
Sainte-Anne-des-Plaines,V,QC,15221.0,2021A00052473035
Sooke,DM,BC,15086.0,2021A00055917052
Gaspé,V,QC,15063.0,2021A00052403005
