checked,provider_id,portal_url,source_url,name,geography_level,province,checked_date,source_ids,notes
x,ab_alberta,https://open.alberta.ca/opendata,,Government of Alberta,province,AB,,,
x,bc_british_columbia,https://catalogue.data.gov.bc.ca,,Government of British Columbia,province,BC,,,
x,mb_manitoba,https://geoportal.gov.mb.ca/,,Government of Manitoba,province,MB,,,
x,nl_newfoundland_and_labrador,https://opendata.gov.nl.ca/,,Government of Newfoundland and Labrador,province,NL,,,
x,ns_nova_scotia,https://data.novascotia.ca/,,Government of Nova Scotia,province,NS,,,
x,nt_the_northwest_territories,https://opendata.gov.nt.ca/,,Government of the Northwest Territories,province,NT,,,
x,nu_nunavut,https://gov.nu.ca/en,,Government of Nunavut,province,NU,,,
x,nu_polar_data_catalogue,https://polardata.ca/,,Polar Data Catalogue,province,NU,,,
x,on_geospatial_ontario,https://geohub.lio.gov.on.ca/,,Geospatial Ontario,province,ON,,,
x,on_ontario,https://data.ontario.ca/,,Government of Ontario,province,ON,,,
x,pe_prince_edward_island,https://data.princeedwardisland.ca/,,Government of Prince Edward Island,province,PE,,,
,qc_quebec,https://www.donneesquebec.ca/,,Government of Québec,province,QC,,,
x,sk_saskatchewan,https://geohub.saskatchewan.ca/,,Government of Saskatchewan,province,SK,,,
x,yt_yukon,https://open.yukon.ca/data,,Government of Yukon,province,YT,,,
,ab_calgary_metropolitan_region,https://calgarymetroregion-cmrb.opendata.arcgis.com/,,Calgary Metropolitan Region,region,AB,,,
,ab_grande_prairie,https://opendata.countygp.ab.ca/,,County of Grande Prairie,region,AB,,,
,bc_capital_regional_district,https://www.crd.bc.ca/about/data/geospatial-data,,Capital Regional District,region,BC,,,
,bc_cariboo_regional_district,https://crd-true-consulting.hub.arcgis.com/,,Cariboo Regional District,region,BC,,,
,bc_columbia_shuswap_regional_district,https://data-csrd.opendata.arcgis.com/,,Columbia Shuswap Regional District,region,BC,,,
,bc_cowichan_valley_regional_district,https://cvrd.ca/3239/GIS-Downloads,,Cowichan Valley Regional District,region,BC,,,
,bc_regional_district_okanagan_similkameen,https://hub-rdos.opendata.arcgis.com/,,Regional District Okanagan-Similkameen,region,BC,,,
,bc_central_okanagan,https://gis-rdco.hub.arcgis.com/pages/open-data,,Regional District of Central Okanagan,region,BC,,,
,bc_east_kootenay,https://data3-ca5c0-rdek.opendata.arcgis.com/,,Regional District of East Kootenay,region,BC,,,
,bc_fraser_fort_george,https://www.rdffg.ca/node/383,,Regional District of Fraser-Fort George,region,BC,,,
,bc_nanaimo_2,https://www.rdn.bc.ca/spatial-data-files,,Regional District of Nanaimo,region,BC,,,
,bc_north_okanagan,https://regional-district-of-north-okanagan-gis-open-data-site-rdnogis.hub.arcgis.com/,,Regional District of North Okanagan,region,BC,,,
,bc_strathcona_regional_district,https://data-strathconard.opendata.arcgis.com/,,Strathcona Regional District,region,BC,,,
,bc_sunshine_coast_regional_district,https://data-myscrd.opendata.arcgis.com/,,Sunshine Coast Regional District,region,BC,,,
,bc_thompson_nicola_regional_district,https://my-tnrd.hub.arcgis.com/pages/opendata,,Thompson-Nicola Regional District,region,BC,,,
,ns_the_county_of_cumberland,https://data-cumberlandns.opendata.arcgis.com/,,Municipality of the County of Cumberland,region,NS,,,
,ns_the_county_of_pictou,https://mopc-pictoucounty.hub.arcgis.com/,,Municipality of the County of Pictou,region,NS,,,
,on_bruce,https://bruce-county-open-spatial-data-brucecounty.hub.arcgis.com/,,County of Bruce,region,ON,,,
,on_elgin,https://elgin-county-open-data-elgin-county.hub.arcgis.com/,,County of Elgin,region,ON,,,
,on_frontenac,https://county-frontenac.hub.arcgis.com/,,County of Frontenac,region,ON,,,
,on_haliburton,https://gis-haliburtoncounty-ca-halcty.hub.arcgis.com/,,County of Haliburton,region,ON,,,
,on_hastings,https://county-hastings-gis.opendata.arcgis.com/,,County of Hastings,region,ON,,,
,on_lambton,https://county-lambton.opendata.arcgis.com/,,County of Lambton,region,ON,,,
,on_lennox_and_addington,https://open-data-hub-lennoxaddington.hub.arcgis.com/,,County of Lennox & Addington,region,ON,,,
,on_middlesex,https://data-middlesex.opendata.arcgis.com/,,County of Middlesex,region,ON,,,
,on_simcoe,https://opengis.simcoe.ca/public/,,County of Simcoe,region,ON,,,
,on_muskoka,https://map.muskoka.on.ca/,,District Municipality of Muskoka,region,ON,,,
,on_dufferin_county,https://data-dufferincounty.opendata.arcgis.com/,,Dufferin County,region,ON,,,
,on_grey_county,https://maps.grey.ca/,,Grey County,region,ON,,,
,on_huron_county,https://data-huron.opendata.arcgis.com/,,Huron County,region,ON,,,
,on_oxford_county,https://public-oxfordcounty.opendata.arcgis.com/,https://public-oxfordcounty.opendata.arcgis.com/datasets/9803ea9b66b740fcbd3930a30956c8b0_17/explore?location=42.870051%2C-80.727920%2C15.42,Oxford County,region,ON,,on_oxford_county_cycling,"from 2019 CCND vintage, needs re-verification"
,on_peel_region,https://data.peelregion.ca/,,Peel Region,region,ON,,,
,on_durham,https://opendata.durham.ca/,,Regional Municipality of Durham,region,ON,,,
,on_niagara,https://niagaraopendata.ca/,,Regional Municipality of Niagara,region,ON,,,
,on_leeds_and_grenville,https://geohub-uclg.hub.arcgis.com/,,United Counties of Leeds and Grenville,region,ON,,,
,on_york_region,https://insights-york.opendata.arcgis.com/,https://data-markham.opendata.arcgis.com/datasets/c1c2100c9f22435f982af79c7385eb1a_0/about,York Region,region,ON,,on_york_region_cycling,"from 2024 CCND vintage, needs re-verification"
,qc_mrc_becancour,https://www.donneesquebec.ca/organisation/mrc-becancour,,MRC Bécancour,region,QC,,,
,qc_mrc_de_nicolet_yamaska,https://www.donneesquebec.ca/organisation/mrc-de-nicolet-yamaska,,MRC de Nicolet-Yamaska,region,QC,,,
,ab_airdrie,https://data-airdrie.opendata.arcgis.com/,,City of Airdrie,municipality,AB,,,
,ab_calgary,https://data.calgary.ca/,https://data.calgary.ca/Transportation-Transit/Calgary-Bikeways/jjqk-9b73/about_data,City of Calgary,municipality,AB,,ab_calgary_cycling,"from 2023 CCND vintage, needs re-verification"
,ab_chestermere,https://data-chestermere.opendata.arcgis.com/,,City of Chestermere,municipality,AB,,,
,ab_edmonton,https://data.edmonton.ca/,https://data.edmonton.ca/Transportation-Infrastructure/Bike-Routes/vd4b-a4iv,City of Edmonton,municipality,AB,,ab_edmonton_cycling,"from 2023 CCND vintage, needs re-verification"
,ab_grande_prairie_2,https://opendata-cityofgp.hub.arcgis.com/,,City of Grande Prairie,municipality,AB,,,
,ab_lethbridge,https://opendata.lethbridge.ca/,,City of Lethbridge,municipality,AB,,,
